Unique-id,Name,Games,AB,Hits,1B,2B,3B,HR,Tbases,Runs,RBI,BB,SB,BA,OBP,SLG,Fld_Pct,AllStar_freq,P,C,1B,2B,3B,SS,OF,DH,HOF
valenjo03,Jose Valentin,1678,5539,1348,756,302,41,249,2479,872,816,684,136,0.2434,0.3271,0.4476,0.9592,0.0000,0,0,0.0006,0.0942,0.1079,0.7247,0.0322,0.0060,0.0000
valenbo02,Bobby Valentine,639,1698,441,361,59,9,12,554,176,157,145,27,0.2597,0.3167,0.3263,0.9572,0.0000,0,0.0031,0.0360,0.1878,0.1659,0.2520,0.2003,0.0282,0.0000
valenel01,Ellis Valentine,894,3166,881,574,169,15,123,1449,380,474,189,59,0.2783,0.3171,0.4577,0.9716,0.1000,0,0,0,0,0,0,0.9575,0.0045,0.0030
valleda01,Dave Valle,970,2775,658,448,121,12,77,1034,314,350,269,5,0.2371,0.3169,0.3726,0.9916,0.0000,0,0.9299,0.0247,0,0,0,0.0010,0.0206,0.0000
valoel01,Elmer Valo,1806,5029,1420,1061,228,73,58,1968,768,601,954,110,0.2824,0.3995,0.3913,0.9764,0.0000,0,0,0,0,0,0,0.7359,0,0.0091
vanhage01,George Van Haltren,1984,8021,2532,2017,285,161,69,3346,1639,1014,868,583,0.3157,0.3851,0.4172,0.8982,0.0000,0.0469,0,0.0010,0.0025,0.0015,0.0398,0.9209,0,0.0000
vanslan01,Andy Van Slyke,1658,5711,1562,1014,293,91,164,2529,835,792,722,245,0.2735,0.3544,0.4428,0.9872,0.2308,0,0,0.0495,0,0.0374,0,0.9041,0,0.0000
vandejo02,John Vander Wal,1372,2751,717,432,170,18,97,1214,374,430,417,38,0.2606,0.3573,0.4413,0.9855,0.0000,0,0,0.1297,0,0,0,0.4271,0.0219,0.0000
vaughar01,Arky Vaughan,1817,6622,2103,1523,356,128,96,3003,1173,926,937,118,0.3176,0.4058,0.4535,0.9505,0.6429,0,0,0,0.0006,0.1084,0.8173,0.0330,0,0.3850
vaughfa01,Farmer Vaughn,915,3454,946,725,147,53,21,1262,474,525,151,92,0.2739,0.3070,0.3654,0.9436,0.0000,0.0011,0.6044,0.2765,0.0022,0.0142,0.0033,0.1202,0,0.0000
vaughgr01,Greg Vaughn,1731,6103,1475,813,284,23,355,2870,1017,1072,919,121,0.2417,0.3418,0.4703,0.9853,0.2667,0,0,0,0,0,0,0.7314,0.2293,0.0000
vaughmo01,Mo Vaughn,1512,5532,1620,1012,270,10,328,2894,861,1064,869,30,0.2928,0.3962,0.5231,0.9881,0.2500,0,0,0.8631,0,0,0,0,0.1177,0.0148
veachbo01,Bobby Veach,1821,6656,2063,1459,393,147,64,2942,953,1166,571,195,0.3099,0.3696,0.4420,0.9621,0.0000,0.0005,0,0,0,0,0,0.9555,0,0.0066
velarra01,Randy Velarde,1273,4244,1171,834,214,23,100,1731,633,445,469,78,0.2759,0.3533,0.4079,0.9689,0.0000,0,0,0.0118,0.4949,0.2302,0.2058,0.0880,0.0141,0.0000
velezot01,Otto Velez,637,1802,452,276,87,11,78,795,244,272,353,6,0.2508,0.3740,0.4412,0.9751,0.0000,0,0,0.0644,0,0.0047,0,0.4333,0.4003,0.0000
venabma01,Max Venable,727,1397,337,245,57,17,18,482,176,128,129,64,0.2412,0.3060,0.3450,0.9816,0.0000,0,0,0,0,0,0,0.6479,0.0055,0.0000
venturo01,Robin Ventura,2079,7064,1885,1239,338,14,294,3133,1006,1182,1207,24,0.2668,0.3722,0.4435,0.9611,0.1250,0.0005,0,0.0779,0.0005,0.9076,0.0005,0,0.0019,0.0173
vernomi01,Mickey Vernon,2409,8731,2495,1713,490,120,172,3741,1196,1311,977,137,0.2858,0.3602,0.4285,0.9900,0.3500,0,0,0.9286,0,0,0,0.0017,0,0.3322
versazo01,Zoilo Versalles,1400,5141,1246,858,230,63,95,1887,650,471,344,97,0.2424,0.2935,0.3670,0.9535,0.1667,0,0,0,0.0379,0.0464,0.9036,0,0,0.0000
veryzto01,Tom Veryzer,996,2848,687,577,84,12,14,837,250,231,151,9,0.2412,0.2849,0.2939,0.9643,0.0000,0,0,0,0.0301,0.0221,0.9307,0,0,0.0000
vinafe01,Fernando Vina,1148,4240,1196,913,194,49,40,1608,627,343,299,116,0.2821,0.3500,0.3792,0.9828,0.0833,0,0,0,0.9138,0.0122,0.0166,0.0052,0.0026,0.0000
virdobi01,Bill Virdon,1583,5980,1596,1187,237,81,91,2268,735,502,483,47,0.2669,0.3206,0.3793,0.9810,0.0000,0,0,0,0,0,0,0.9741,0,0.0109
virgioz02,Ozzie Virgil,739,2258,549,361,84,6,98,939,258,307,269,4,0.2431,0.3298,0.4159,0.9868,0.1818,0,0.9161,0,0,0,0,0,0.0095,0.0000
vittos01,Ossie Vitt,1065,3760,894,736,106,48,4,1108,560,295,455,114,0.2378,0.3220,0.2947,0.9577,0.0000,0,0,0.0019,0.1512,0.7822,0.0028,0.0357,0,0.0000
vizcajo01,Jose Vizcaino,1820,5379,1453,1166,204,47,36,1859,633,480,411,74,0.2701,0.3217,0.3456,0.9751,0.0000,0,0,0.0214,0.2385,0.1247,0.5209,0.0005,0.0033,0.0000
vollmcl01,Clyde Vollmer,685,2021,508,352,77,10,69,812,283,339,243,7,0.2514,0.3349,0.4018,0.9840,0.0000,0,0,0,0,0,0,0.8044,0,0.0000
